Year,race,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Crawford,Cumberland,Dekalb,Dewitt,Douglas,Dupage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,Lasalle,Lawrence,Lee,Livingston,Logan,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Mcdonough,Mchenry,Mclean,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Non county agencies,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock island,Saline,Sangamon,Schuyler,Scott,Shelby,St. clair,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford,Cook
2003,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2003,Native American,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,181
2003,White,872,61,259,756,156,577,145,301,143,2343,475,421,172,488,1328,442,245,1787,391,244,13529,377,47,1153,369,249,1008,889,83,142,965,63,276,82,184,579,677,1268,74,776,909,426,214,10410,1825,1235,944,15332,2728,540,783,1236,745,1103,889,5082,640,255,410,524,1036,5422,2512,204,480,638,856,1264,168,24,1243,3766,564,174,466,30,253,92,468,225,3402,881,4156,104,38,475,2733,70,618,1807,235,1345,343,280,287,294,776,1251,4614,850,5015,621,80360
2004,Black,156,198,32,61,6,33,0,6,12,2606,18,0,6,46,132,18,6,356,11,21,2531,6,0,104,6,0,17,25,0,0,40,0,6,0,18,110,226,491,0,387,27,29,16,3213,1570,144,412,3696,231,17,95,204,94,1106,42,1715,175,6,6,94,135,309,997,6,25,34,50,347,0,96,97,4164,76,6,21,0,117,6,87,6,1390,113,2655,6,0,0,3647,0,536,130,6,813,11,30,10,0,27,177,2889,151,3138,98,109562
2004,Asian,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,6,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,93,0,6,0,117,6,0,0,0,0,0,0,16,0,0,0,6,6,18,18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,16,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,1351
2004,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2004,Native American,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,145
2004,White,821,65,248,727,146,441,155,269,181,2731,503,324,349,761,1277,469,279,1940,346,266,13963,414,75,1190,358,209,1043,756,72,112,1007,41,263,72,221,570,738,909,92,831,856,504,254,10251,1985,1626,1173,12474,3134,501,751,1364,830,1165,794,5203,688,256,464,493,1230,6370,2421,202,518,691,910,1229,180,77,1273,3602,538,205,345,58,253,119,492,245,3299,768,4056,141,26,527,2588,70,832,1872,287,1649,312,250,298,229,702,1178,5035,1094,5325,729,80683
2005,Black,229,137,36,47,12,65,0,6,10,2409,11,0,6,51,188,19,6,410,20,27,2869,0,0,150,24,13,6,16,0,0,40,0,13,0,14,121,183,309,0,349,17,29,26,3468,1473,248,400,3741,310,17,79,266,114,1162,42,2185,235,0,17,95,118,415,1264,6,21,30,51,263,6,71,90,4503,118,6,28,0,117,6,81,10,1401,81,2523,11,0,10,3221,0,631,269,28,534,0,39,25,0,27,170,3186,225,3313,129,110357
2005,Asian,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,14,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,100,6,6,0,159,6,0,0,6,0,0,0,18,0,0,0,0,0,21,25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,14,0,0,0,14,0,0,6,0,0,0,0,0,0,0,6,36,0,29,6,1485
