county,state,total_population,total_white_population,total_black_population,total_latino_population,incarcerated_population,incarcerated_white_population,incarcerated_black_population,incarcerated_latino_population,non-incarcerated_population,non-incarcerated_white_population,non-incarcerated_black_population,non-incarcerated_latino_population,ratio_of_overrepresentation_of_whites_incarcerated_compared_to_whites_non-incarcerated,ratio_of_overrepresentation_of_blacks_incarcerated_compared_to_blacks_non-incarcerated,ratio_of_overrepresentation_of_latinos_incarcerated_compared_to_latinos_non-incarcerated
Vermilion,Illinois,81625,65590,10571,3441,2084,536,1236,319,79541,65054,9335,3122,0.31,5.05,3.89
Wabash,Illinois,11947,11498,77,158,0,0,0,0,11947,11498,77,158,0.0,0.0,0.0
Warren,Illinois,17707,15582,303,1490,17,16,1,0,17690,15566,302,1490,1.07,3.44,0.0
Washington,Illinois,14716,14260,101,197,18,8,9,1,14698,14252,92,196,0.46,79.37,4.18
Wayne,Illinois,16760,16340,42,176,2,0,2,2,16758,16340,40,174,0.0,416.67,96.15
White,Illinois,14665,14308,56,158,72,35,19,36,14593,14273,37,122,0.5,105.56,59.52
Whiteside,Illinois,58498,50263,781,6455,88,55,21,12,58410,50208,760,6443,0.73,18.36,1.24
Will,Illinois,677560,455577,75743,105817,3902,811,2528,538,673658,454766,73215,105279,0.31,5.96,0.88
Williamson,Illinois,66357,60719,2540,1301,1213,515,515,130,65144,60204,2025,1171,0.46,13.65,5.95
Winnebago,Illinois,295266,214196,36108,32177,963,472,391,92,294303,213724,35717,32085,0.67,3.34,0.88
Woodford,Illinois,38664,37294,187,527,44,38,2,3,38620,37256,185,524,0.9,9.47,5.01
